,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
84,2018-00057607,10/04/18,09:40,4300 block of Knox Rd,10/08/18,15:43,Theft,Investigation Pending
86,2018-00057610,10/08/18,16:30,7500 block of Baltimore Ave,10/08/18,17:03,Injured/Sick Person,CBE
88,2018-00057611,10/08/18,17:15,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr",10/08/18,17:15,Emergency Petition,CBE
90,2018-00057612,10/07/18,18:00,Lot 3,10/08/18,17:24,Theft from Auto,Arrest
92,2018-00057629,10/08/18,20:30,8100 block of Boteler Ln,10/08/18,20:52,CDS Violation,Arrest
94,2018-00057645,10/04/18,20:00,4100 block of Farm Dr,10/08/18,22:17,Harassment/Stalking (Title IX Related),Investigation Pending
96,2018-00057733,10/01/18,08:00,340 block of Ehrensberger Dr,10/09/18,08:31,Suspicious Activity,Active/Pending
98,2018-00057736,10/08/18,14:15,4200 block of Lehigh Rd,10/09/18,09:17,Theft,Investigation Pending
100,2018-00057746,10/08/18,22:00,4200 block of Lehigh Rd,10/09/18,11:01,Theft,Investigation Pending
102,2018-00057751,10/08/18,21:00,"Calvert, Calvert Hall at 7551 Calvert Service Ln",10/09/18,11:31,Stolen Motor Vehicle,Arrest
104,2018-00057759,10/09/18,13:00,Pi Kappa Alpha at 2 Fraternity Row,10/09/18,13:00,Other Incident,Active/Pending
106,2018-00057761,10/03/18,08:00,Martin Hall at 4298 Campus Dr,10/09/18,13:18,Theft,Active/Pending
108,2018-00057765,10/09/18,15:36,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr",10/09/18,15:36,Other Incident,CBE
110,2018-00057786,10/08/18,01:00,7500 block of Mowatt Ln,10/09/18,17:39,Theft,Active/Pending
112,2018-00057809,10/09/18,20:00,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr",10/09/18,20:21,Injured/Sick Person,CBE
114,2018-00057872,10/10/18,01:49,University Blvd,10/10/18,01:49,DWI/DUI,Arrest
116,2018-00057874,10/10/18,02:12,Baltimore Ave,10/10/18,02:12,Warrant/Summons Service,Arrest
118,2018-00057887,10/05/18,04:00,Plant Sciences Building at 4291 Fieldhouse Dr,10/10/18,06:54,Theft,Investigation Pending
120,2018-00057890,10/10/18,07:29,3900 block of Campus Dr,10/10/18,07:29,Trespassing,Arrest
122,2018-00057899,10/10/18,10:36,Pocomoke at 7569 Baltimore Ave,10/10/18,10:36,Other Incident,CBE
124,2018-00057933,10/03/18,09:00,7500 block of Mowatt Ln,10/10/18,16:19,Theft,Investigation Pending
126,2018-00057960,10/10/18,17:39,9200 block of 25th Pl,10/10/18,17:39,Assist Other Agency,CBE
128,2018-00057961,10/10/18,17:35,"Hagerstown, Hagerstown Hall at 4000 Stadium Dr",10/10/18,17:55,Injured/Sick Person,CBE
130,2018-00057969,10/09/18,14:00,4100 block of Woodberry St,10/10/18,18:23,Harassment/Stalking,CBE
132,2018-00058007,10/10/18,22:00,"Oakland, Oakland Hall at 3912 Denton Service Ln",10/10/18,22:34,CDS Violation,Arrest
134,2018-00058020,10/11/18,00:18,3900 block of Campus Dr,10/11/18,00:18,Trespassing,Arrest
136,2018-00058041,10/11/18,03:28,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl",10/11/18,03:28,DWI/DUI,Arrest
138,2018-00058072,10/11/18,09:50,3900 block of Denton Service Ln,10/11/18,09:50,Injured/Sick Person,CBE
140,2018-00058101,10/11/18,14:52,Lot JJ3,10/11/18,14:52,Check on the Welfare,CBE
142,2018-00058137,10/11/18,20:30,4300 block of Knox Rd,10/11/18,20:30,Assist Other Agency,CBE
144,2018-00058152,10/10/18,15:00,4000 block of Stadium Dr,10/11/18,23:13,Theft,Investigation Pending
146,2018-00058272,09/12/18,07:00,Pocomoke at 7569 Baltimore Ave,10/12/18,10:32,Dept Property Damage/Loss,CBE
148,2018-00058286,10/12/18,12:17,Pocomoke at 7569 Baltimore Ave,10/12/18,12:17,Other Incident,Investigation Pending
150,2018-00058290,10/07/18,19:00,7500 block of Mowatt Ln,10/12/18,12:50,Theft from Auto,Arrest
152,2018-00058293,10/12/18,09:30,340 block of Ehrensberger Dr,10/12/18,13:20,Indecent Exposure (Title IX Related),Arrest
154,2018-00058295,10/12/18,13:50,Hartwick Rd,10/12/18,13:50,Recovered Stolen Motor Vehicle,Arrest
156,2018-00058307,10/12/18,16:17,"LaPlata, LaPlata Hall at 4121 Farm Dr",10/12/18,16:17,Injured/Sick Person,CBE
158,2018-00058334,10/12/18,19:00,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr",10/12/18,19:36,Injured/Sick Person,CBE
160,2018-00058342,10/12/18,20:35,Elkton at 3981 Denton Service Ln,10/12/18,20:35,CDS Violation,Arrest
162,2018-00058375,10/12/18,23:00,3900 block of Campus Dr,10/12/18,23:12,Injured/Sick Person,CBE
164,2018-00058383,10/06/18,23:30,Hartwick Rd,10/12/18,23:57,Suspicious Activity,CBE
166,2018-00058386,10/13/18,00:07,3900 block of Campus Dr,10/13/18,00:07,Trespassing,Arrest
168,2018-00058388,10/13/18,00:11,7300 block of Baltimore Ave,10/13/18,00:11,Injured/Sick Person,CBE
170,2018-00058415,10/13/18,02:18,"A James Clark Hall, A. James Clark Hall, A.J. Clark Hall, Clark, Clark Hall at 8278 Paint Branch Dr",10/13/18,03:31,Damage to State Property,Active/Pending
172,2018-00058416,10/13/18,03:42,McDonald's at 8301 Baltimore Ave,10/13/18,03:42,DWI/DUI,Arrest
174,2018-00058466,10/13/18,11:20,Lot 3,10/13/18,11:20,Dept Property Damage/Loss,CBE
176,2018-00058477,10/13/18,12:36,Lot 11b,10/13/18,12:36,DWI/DUI,Arrest
178,2018-00058481,10/13/18,13:17,Lot 1d,10/13/18,13:17,Other Incident,CBE
180,2018-00058496,10/13/18,14:45,Stadium Dr,10/13/18,14:45,Assault (Title IX Related),CBE
182,2018-00058497,10/05/18,17:00,Ellicott at 4052 Stadium Dr,10/13/18,14:43,Theft,Investigation Pending
184,2018-00058505,10/13/18,10:45,8400 block of Paint Branch Dr,10/13/18,15:15,Vandalism,Active/Pending
186,2018-00058506,10/13/18,15:35,Campus Dr,10/13/18,15:35,Injured/Sick Person,CBE
188,2018-00058509,10/13/18,10:50,8200 block of Alumni Dr,10/13/18,15:52,Theft,Investigation Pending
190,2018-00058511,10/13/18,15:40,6 Fraternity Row,10/13/18,16:00,Trespassing,Active/Pending
192,2018-00058516,10/13/18,17:01,"Art Soc, Art Sociology, Art Sociology Building, Art-Sociology Building, Parren J. Mitchell Art-Sociology Building at 3834 Campus Dr",10/13/18,17:01,Injured/Sick Person,Active/Pending
194,2018-00058518,10/13/18,17:25,4200 block of Knox Rd,10/13/18,17:25,Assist Other Agency,CBE
196,2018-00058524,10/12/18,21:00,4300 block of Knox Rd,10/13/18,18:44,Theft,Investigation Pending
198,2018-00058525,10/13/18,18:53,Baltimore Ave,10/13/18,18:53,Injured/Sick Person,CBE
200,2018-00058527,10/13/18,19:21,North Gate at 4306 Campus Dr,10/13/18,19:21,Recovered Stolen Property,CBE
202,2018-00058528,10/13/18,19:27,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr",10/13/18,19:27,Injured/Sick Person,CBE
204,2018-00058552,10/14/18,00:04,"Cambridge, Cambridge Hall at 4230 Farm Dr",10/14/18,00:04,Injured/Sick Person,CBE
206,2018-00058553,10/14/18,00:17,Queen Anne at 7645 Preinkert Dr,10/14/18,00:17,Injured/Sick Person,CBE
208,2018-00058561,10/14/18,01:11,Ellicott at 4052 Stadium Dr,10/14/18,01:11,Emergency Petition,CBE
210,2018-00058568,10/14/18,01:52,6800 block of Preinkert Dr,10/14/18,01:52,Assault (Title IX Related),Arrest
212,2018-00058585,10/13/18,23:00,7500 block of Mowatt Ln,10/14/18,07:23,Suspicious Activity,CBE
214,2018-00058697,10/05/18,05:25,7300 block of Hopkins Ave,10/14/18,19:09,Assist Other Agency,CBE
216,2018-00058732,10/14/18,23:25,3900 block of Campus Dr,10/14/18,23:25,Trespassing,Arrest
218,2018-00058789,10/15/18,09:20,Ellicott at 4052 Stadium Dr,10/15/18,09:20,Injured/Sick Person,CBE
220,2018-00058819,10/13/18,15:30,"Taliaferro, Taliaferro Hall at 4280 Chapel Ln",10/15/18,11:46,Theft,Investigation Pending
222,2018-00058837,10/12/18,12:00,4300 block of Knox Rd,10/15/18,13:10,Theft,CBE
224,2018-00058839,10/15/18,11:30,"Atlantic Building, Computer & Space Sciences Building at 4254 Stadium Dr",10/15/18,13:27,Harassment/Stalking,CBE
226,2018-00058897,10/15/18,19:12,4600 block of Norwich Rd,10/15/18,19:12,Dept Property Damage/Loss,CBE
228,2018-00058905,10/14/18,21:00,Denton at 3854 Stadium Dr,10/15/18,19:59,Vandalism,CBE
230,2018-00058915,10/01/18,17:00,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr",10/15/18,20:57,Harassment/Stalking (Title IX Related),CBE
232,2018-00058922,10/15/18,23:10,"Club House, Golf Course Club House at 3800 Golf Course Rd",10/15/18,23:20,Injured/Sick Person,CBE
234,2018-00058926,10/15/18,23:33,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr",10/15/18,23:33,CDS Violation,CBE
236,2018-00058949,10/16/18,01:00,3900 block of Denton Service Ln,10/16/18,02:08,Injured/Sick Person,CBE
238,2018-00058953,10/16/18,03:16,Zips Dry Clean Depo at 7215 Baltimore Ave,10/16/18,03:16,DWI/DUI,Arrest
240,2018-00058985,10/16/18,08:47,4300 block of Rowalt Dr,10/16/18,08:47,Domestic (Title IX Related),CBE
242,2018-00059003,10/15/18,18:30,"Calvert, Calvert Hall at 7551 Calvert Service Ln",10/16/18,13:03,Stolen Motor Vehicle,Investigation Pending
244,2018-00059008,10/16/18,14:00,Health Center at 3983 Campus Dr,10/16/18,14:08,Emergency Petition,CBE
246,2018-00059010,10/16/18,14:27,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl",10/16/18,14:27,Vandalism,Active/Pending
248,2018-00059012,10/13/18,12:00,Maryland Stadium Building Upper Deck at 4063 Stadium Dr,10/16/18,14:50,Fraud,CBE
250,2018-00059030,10/16/18,17:33,"Anne Arundel, Anne Arundel Hall at 3915 Campus Dr",10/16/18,17:33,Fraud,Active/Pending
252,2018-00059042,10/16/18,12:30,"Annapolis, Annapolis Hall at 7626 Regents Dr",10/16/18,19:53,Stolen Motor Vehicle,Arrest
254,2018-00059106,10/17/18,01:01,Baltimore Ave,10/17/18,01:01,DWI/DUI,Arrest
256,2018-00059172,10/16/18,10:00,"Anne Arundel, Anne Arundel Hall at 3915 Campus Dr",10/17/18,08:36,Police Information,CBE
258,2018-00059186,10/08/18,12:00,Worcester at 7405 Preinkert Dr,10/17/18,10:21,Other Incident,CBE
260,2018-00059205,10/17/18,13:17,Health Center at 3983 Campus Dr,10/17/18,13:17,Emergency Petition,CBE
262,2018-00059208,10/11/18,14:00,Kim Engineering Building at 8228 Paint Branch Dr,10/17/18,13:35,Theft,Investigation Pending
264,2018-00059237,10/17/18,17:26,Health Center at 3983 Campus Dr,10/17/18,17:26,Injured/Sick Person,CBE
266,2018-00059321,10/17/18,23:56,3900 block of Campus Dr,10/17/18,23:56,Trespassing,Arrest
268,2018-00059325,09/01/18,12:00,"Chapel, Memorial Chapel at 7744 Regents Dr",10/18/18,00:02,Suspicious Activity (Title IX Related),CBE
270,2018-00059334,10/18/18,02:30,Lehigh Rd,10/18/18,02:30,DWI/DUI,Arrest
272,2018-00059373,10/18/18,12:07,7500 block of Calvert Service Ln,10/18/18,12:07,Alarm,Arrest
274,2018-00059411,10/05/18,20:00,"Tydings, Tydings Hall at 7343 Preinkert Dr",10/18/18,18:33,Other Incident,CBE
276,2018-00059456,10/18/18,21:21,Campus Dr,10/18/18,21:21,Other Incident,CBE
278,2018-00059591,10/19/18,10:35,Pocomoke at 7569 Baltimore Ave,10/19/18,10:41,Dept Property Damage/Loss,CBE
280,2018-00059606,09/26/18,10:55,7 Fraternity Row,10/19/18,12:42,Other Incident,CBE
282,2018-00059619,10/16/18,22:00,"Calvert, Calvert Hall at 7551 Calvert Service Ln",10/19/18,14:42,Stolen Motor Vehicle,Investigation Pending
284,2018-00059641,10/19/18,17:27,Montgomery at 7570 Regents Dr,10/19/18,17:27,Police Information (Title IX Related),CBE
286,2018-00059685,10/20/18,00:24,"Oakland, Oakland Hall at 3912 Denton Service Ln",10/20/18,00:24,Injured/Sick Person,CBE
288,2018-00059686,10/20/18,00:30,Elkton at 3981 Denton Service Ln,10/20/18,00:30,Injured/Sick Person,CBE
290,2018-00059688,10/20/18,01:00,4400 block of Knox Rd,10/20/18,01:16,Injured/Sick Person,CBE
292,2018-00059691,10/20/18,01:52,7400 block of Baltimore Ave,10/20/18,01:52,Injured/Sick Person,CBE
294,2018-00059696,10/20/18,02:18,Ellicott at 4052 Stadium Dr,10/20/18,02:18,Injured/Sick Person,CBE
296,2018-00059712,10/20/18,02:42,Colesville Rd / Georgia Ave,10/20/18,04:47,Assist Other Agency,CBE
298,2018-00059762,10/05/18,12:00,3400 block of Tulane Dr,10/20/18,12:00,Theft,Unfounded
300,2018-00059781,10/20/18,14:30,Campus Dr,10/20/18,14:39,Injured/Sick Person,CBE
302,2018-00059864,10/20/18,22:00,Prince Frederick at 7030 Preinkert Dr,10/21/18,00:13,Injured/Sick Person,CBE
304,2018-00059865,10/21/18,00:22,Baltimore Ave,10/21/18,00:22,DWI/DUI,Arrest
306,2018-00059874,10/21/18,01:47,Baltimore Ave,10/21/18,01:47,CDS Violation,Arrest
308,2018-00059913,10/21/18,10:18,Lot 11b,10/21/18,10:18,Vandalism (Title IX Related),Active/Pending
310,2018-00059932,10/21/18,13:41,Manufacturing Building at 8197 Regents Dr,10/21/18,13:41,Hazardous Condition,CBE
312,2018-00059933,10/21/18,12:45,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr",10/21/18,14:02,Theft,Investigation Pending
314,2018-00059992,10/21/18,19:50,"LaPlata, LaPlata Hall at 4121 Farm Dr",10/21/18,20:53,Found/Recovered Property,Unfounded
316,2018-00060020,10/21/18,23:15,University Blvd,10/21/18,23:15,DWI/DUI,Arrest
318,2018-00060031,10/22/18,00:45,3900 block of Campus Dr,10/22/18,00:45,Burglary,Arrest
320,2018-00060032,10/21/18,08:07,"Leonardtown #248, Leonardtown at 7567 Yale Ave",10/22/18,01:15,Fraud,Active/Pending
322,2018-00060079,10/22/18,09:02,Health Center at 3983 Campus Dr,10/22/18,09:02,Emergency Petition,CBE
324,2018-00060085,10/19/18,17:00,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center at 4090 Union Dr",10/22/18,09:33,Damage to State Property,Active/Pending
326,2018-00060108,10/22/18,15:30,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr",10/22/18,15:40,Harassment/Stalking,CBE
328,2018-00060111,10/13/18,10:00,"Armory, Reckord Armory at 4490 Rossborough Ln",10/22/18,16:08,Other Incident,CBE
330,2018-00060125,10/22/18,17:30,"Van Munching, Van Munching Hall at 7699 Mowatt Ln",10/22/18,17:35,Injured/Sick Person,CBE
332,2018-00060134,10/22/18,18:30,3900 block of Campus Dr,10/22/18,18:40,Alarm,Investigation Pending
334,2018-00060142,10/22/18,19:48,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr",10/22/18,19:48,Trespassing,CBE
336,2018-00060147,10/22/18,20:50,4200 block of Valley Dr,10/22/18,21:02,Injured/Sick Person,CBE
338,2018-00060155,10/22/18,22:00,7200 block of Preinkert Dr,10/22/18,22:19,CDS Violation,Arrest
340,2018-00060211,10/23/18,01:48,6800 block of Preinkert Dr,10/23/18,01:48,Injured/Sick Person,CBE
342,2018-00060249,10/23/18,06:46,3900 block of Denton Service Ln,10/23/18,06:46,Emergency Petition,CBE
344,2018-00060296,10/20/18,21:00,"Tau Kappa Epsilon, TKE at 3 Fraternity Row",10/23/18,13:09,Theft,Unfounded
346,2018-00060308,10/23/18,15:31,Cumberland at 4145 Valley Dr,10/23/18,15:31,Trespassing,CBE
348,2018-00060383,10/23/18,20:00,4300 block of Rowalt Dr,10/23/18,20:21,Peeping Tom,Active/Pending
350,2018-00060419,10/23/18,22:00,7500 block of Regents Dr,10/23/18,22:14,Emergency Petition,CBE
352,2018-00060435,10/24/18,00:15,"Cambridge, Cambridge Hall at 4230 Farm Dr",10/24/18,00:15,Overdose,CBE
354,2018-00060445,10/24/18,01:00,4400 block of Knox Rd,10/24/18,01:10,Disorderly Conduct,Arrest
356,2018-00060459,10/20/18,23:45,3900 block of Campus Dr,10/24/18,02:00,Theft,Investigation Pending
358,2018-00060466,10/24/18,01:00,8500 block of Boteler Ln,10/24/18,02:31,Theft from Auto,Investigation Pending
360,2018-00060468,10/24/18,02:30,"Elkins, Elkins Building, Systems Office, UM Systems Office at 3300 Metzerott Rd",10/24/18,02:46,Assist Other Agency,CBE
362,2018-00060473,10/24/18,05:45,"Tau Kappa Epsilon, TKE at 3 Fraternity Row",10/24/18,05:45,Injured/Sick Person,CBE
364,2018-00060525,10/17/18,18:30,4000 block of Campus Dr,10/24/18,13:44,Theft,Investigation Pending
366,2018-00060532,10/24/18,13:15,3900 block of Campus Dr,10/24/18,14:34,Theft,Investigation Pending
368,2018-00060553,10/24/18,16:14,3900 block of Campus Dr,10/24/18,16:14,Injured/Sick Person,CBE
370,2018-00060575,10/24/18,17:22,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr",10/24/18,17:22,Pedestrian Struck,CBE
372,2018-00060577,10/24/18,17:19,"Shoemaker, Shoemaker Building at 4281 Chapel Ln",10/24/18,17:19,Emergency Petition,CBE
374,2018-00060608,10/24/18,20:50,Denton at 3854 Stadium Dr,10/24/18,20:59,Emergency Petition,CBE
376,2018-00060626,10/24/18,22:38,Ellicott at 4052 Stadium Dr,10/24/18,22:38,CDS Violation,CBE
378,2018-00060633,10/24/18,23:00,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr",10/24/18,23:16,Injured/Sick Person,CBE
380,2018-00060644,10/25/18,00:46,Baltimore Ave,10/25/18,00:46,Theft,Investigation Pending
382,2018-00060693,10/25/18,11:30,"Armory, Reckord Armory at 4490 Rossborough Ln",10/25/18,11:42,Emergency Petition,CBE
384,2018-00060695,10/25/18,12:13,"Leonardtown, Leonardtown #201, Leonardtown Leonardtown Office Building at 4725 Rossborough Ln",10/25/18,12:13,Injured/Sick Person,CBE
386,2018-00060697,10/12/18,23:30,4200 block of Valley Dr,10/25/18,12:28,Rape,Arrest
388,2018-00060704,10/25/18,13:49,3900 block of Campus Dr,10/25/18,13:49,Emergency Petition,CBE
390,2018-00060758,10/25/18,19:25,"Recreation Artificial Turf Field, Turf Field, Turf Fields",10/25/18,19:29,Injured/Sick Person,CBE
392,2018-00060831,10/26/18,00:30,"Chesapeake, Chesapeake Building at 4300 Terrapin Trl",10/26/18,00:49,Burglary,CBE
394,2018-00060832,10/26/18,00:30,4200 block of Lehigh Rd,10/26/18,01:02,Vandalism,Active/Pending
396,2018-00060843,10/26/18,02:02,"Leonardtown #244, Leonardtown at 4673 Rossborough Ln",10/26/18,02:02,Injured/Sick Person,CBE
398,2018-00060855,10/26/18,02:30,4200 block of Lehigh Rd,10/26/18,03:01,Injured/Sick Person,CBE
400,2018-00060870,10/26/18,04:00,3900 block of Denton Service Ln,10/26/18,04:38,Injured/Sick Person,CBE
402,2018-00060903,10/25/18,11:00,"Chapel, Memorial Chapel at 7744 Regents Dr",10/26/18,09:51,Theft,Arrest
404,2018-00060926,10/26/18,11:00,Health Center at 3983 Campus Dr,10/26/18,11:08,Injured/Sick Person,CBE
406,2018-00061035,10/01/18,12:00,Cumberland at 4145 Valley Dr,10/26/18,19:43,Hate Bias Incident,Investigation Pending
408,2018-00061076,10/26/18,23:14,Lot LL1,10/26/18,23:15,CDS Violation,CBE
410,2018-00061111,10/27/18,02:02,Baltimore Ave,10/27/18,02:02,DWI/DUI,Arrest
412,2018-00061118,10/26/18,23:00,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300 Hartwick Rd",10/27/18,03:55,Assist Other Agency (Title IX Related),CBE
414,2018-00061189,10/27/18,02:30,4100 block of Valley Dr,10/27/18,13:03,Harassment/Stalking (Title IX Related),CBE
416,2018-00061212,10/27/18,14:50,Paint Branch Dr,10/27/18,14:59,Pedestrian Struck,CBE
418,2018-00061215,10/25/18,10:00,3400 block of Tulane Dr,10/27/18,15:15,Theft,Investigation Pending
420,2018-00061229,10/27/18,17:14,"Riggs, Riggs Alumni, Riggs Alumni Center at 7801 Alumni Dr",10/27/18,17:14,Injured/Sick Person,CBE
422,2018-00061250,10/27/18,15:11,Varsity Practice Field,10/27/18,19:12,Other Incident,CBE
424,2018-00061279,10/27/18,21:14,4500 block of College Ave,10/27/18,21:14,Assist Other Agency,CBE
426,2018-00061292,10/27/18,22:36,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr",10/27/18,22:36,DWI/DUI,Arrest
428,2018-00061330,10/28/18,{NO TIME},7500 block of Calvert Service Ln,10/28/18,02:16,Injured/Sick Person,CBE
430,2018-00061331,10/28/18,02:26,Montgomery at 7570 Regents Dr,10/28/18,02:26,Trespassing,Arrest
432,2018-00061408,10/25/18,20:00,"LaPlata, LaPlata Hall at 4121 Farm Dr",10/28/18,14:56,Theft,Active/Pending
434,2018-00061412,10/28/18,15:54,340 block of Ehrensberger Dr,10/28/18,15:54,CDS Violation,Arrest
436,2018-00061490,10/29/18,03:15,7500 block of Regents Dr,10/29/18,03:32,Suspicious Activity,CBE
438,2018-00061517,10/28/18,22:00,"Prince George's, Prince George's Hall at 7527 Calvert Service Ln",10/29/18,08:29,Stolen Motor Vehicle,Arrest
440,2018-00061546,10/29/18,09:36,3900 block of Denton Service Ln,10/29/18,09:36,Injured/Sick Person,CBE
442,2018-00061554,10/29/18,06:00,7600 block of Library Ln,10/29/18,10:22,Trespassing,CBE
444,2018-00061593,10/29/18,14:00,"College Park Metro, Metro at 4600 River Rd",10/29/18,14:11,Theft,Arrest
446,2018-00061622,10/29/18,17:30,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr",10/29/18,17:40,Suspicious Person/Auto,CBE
448,2018-00061678,10/29/18,11:47,Lakeland Rd,10/30/18,00:14,Assist Other Agency,CBE
